40.0,10.0,20.0,1.0,-1.5538065375157495,1.6770228
40.0,10.0,20.0,2.0,-0.7013141749532328,0.3363247
40.0,10.0,20.0,3.0,-1.4265686998844602,0.1655936
60.0,15.0,30.0,1.0,-1.7811835092404427,1.2213344
60.0,15.0,30.0,2.0,-2.3348248346041665,1.287859
60.0,15.0,30.0,3.0,-1.40011221194216,1.2728199
80.0,20.0,40.0,1.0,-2.7777165416793443,16.3234614
80.0,20.0,40.0,2.0,-2.426260131985708,18.041299
80.0,20.0,40.0,3.0,-2.487376083484186,16.1240388
100.0,25.0,50.0,1.0,-2.426174239847802,42.8729734
100.0,25.0,50.0,2.0,-2.7135833838735475,52.7915722
100.0,25.0,50.0,3.0,-2.6575468031818037,41.9369386
140.0,35.0,70.0,1.0,-3.0773270100606767,326.2719769
140.0,35.0,70.0,2.0,-3.2177118307946273,307.3792277
140.0,35.0,70.0,3.0,-1.5186079694057744,328.5164291
180.0,45.0,90.0,1.0,-2.0571155641648313,1041.7419984
180.0,45.0,90.0,2.0,-1.6546466910029751,1124.2092824
180.0,45.0,90.0,3.0,-1.6699037015070772,1170.7045778
200.0,50.0,100.0,1.0,-1.759501274045146,1934.500163
200.0,50.0,100.0,2.0,-1.2923407534551357,1729.9786321
200.0,50.0,100.0,3.0,-1.503750049415018,1954.8900997
240.0,60.0,120.0,1.0,-0.4699185897377617,4701.3517185
240.0,60.0,120.0,2.0,-0.6524620064741053,3665.8828854
240.0,60.0,120.0,3.0,-0.745437975660058,3634.7814395
280.0,70.0,140.0,1.0,1.4678852372372595,10209.3180701
280.0,70.0,140.0,2.0,1.1929173548780811,7754.9068301
280.0,70.0,140.0,3.0,0.811209854274862,6523.1469564
300.0,75.0,150.0,1.0,4.335766598515761,9905.3361422
300.0,75.0,150.0,2.0,3.534493185990471,7914.3491479
300.0,75.0,150.0,3.0,3.0015984667992934,8535.7416016
